,test_actual,test_forecast
2025-01-16,228.259994506836,192.6497566015235
2025-01-17,229.97999572753903,195.397504300541
2025-01-21,222.63999938964844,197.6901297418641
2025-01-22,223.8300018310547,198.9599272598399
2025-01-23,223.66000366210932,199.82280286594647
2025-01-24,222.77999877929688,200.59128601340893
2025-01-27,229.8600006103516,201.25093647289
2025-01-28,238.259994506836,201.90203959613274
2025-01-29,239.3600006103516,203.09409275440746
2025-01-30,237.58999633789065,203.91930457069236
2025-01-31,236.0,204.46228764543727
2025-02-03,228.009994506836,204.80869268447958
2025-02-04,232.8000030517578,203.33056348131367
2025-02-05,232.47000122070312,203.8447508474761
2025-02-06,233.22000122070312,203.9728559484374
2025-02-07,227.6300048828125,204.22951652295086
2025-02-10,227.6499938964844,203.69215900653
2025-02-11,232.6199951171875,203.36326229481614
2025-02-12,236.8699951171875,204.07171716358417
2025-02-13,241.52999877929688,204.70313226555155
2025-02-14,244.6000061035156,205.52545534003613
2025-02-18,244.47000122070312,206.36237861181615
2025-02-19,244.8699951171875,206.93263348058827
2025-02-20,245.8300018310547,207.1229185825572
2025-02-21,245.5500030517578,207.45726165704068
2025-02-24,247.1000061035156,207.82113664054467
2025-02-25,247.0399932861328,207.96340242882118
2025-02-26,240.3600006103516,208.17772729759346
2025-02-27,237.3000030517578,207.09665989956204
2025-02-28,241.83999633789065,206.31253547404566
2025-03-03,238.02999877929688,207.15204295754992
2025-03-04,235.92999267578125,206.86526624582643
2025-03-05,235.7400054931641,206.43446611459822
2025-03-06,235.3300018310547,206.17755371656716
2025-03-07,239.07000732421875,206.15910929105104
2025-03-10,227.47999572753903,206.79260677455486
2025-03-11,220.83999633789065,204.94133756283145
2025-03-12,216.97999572753903,203.21432993160337
2025-03-13,209.67999267578125,202.07479253357195
2025-03-14,213.4900054931641,200.76675060805604
2025-03-17,214.0,201.3405205915601
2025-03-18,212.69000244140625,201.48286887983642
2025-03-19,215.2400054931641,201.42239624860832
2025-03-20,214.1000061035156,201.4609463505775
2025-03-21,218.2700042724609,201.42770692506144
2025-03-24,220.72999572753903,201.95125190856504
2025-03-25,223.75,202.15381269684144
2025-03-26,221.52999877929688,202.6284875656135
2025-03-27,223.8500061035156,202.60719766758257
2025-03-28,217.8999938964844,202.945995742066
2025-03-31,222.1300048828125,202.44310572557015
2025-04-01,223.19000244140625,202.63718651384644
2025-04-02,223.88999938964844,202.98801388261853
2025-04-03,203.19000244140625,203.09299398458774
2025-04-04,188.3800048828125,199.7842395590714
2025-04-07,181.4600067138672,196.27278204257522
2025-04-08,172.4199981689453,194.26505533085154
2025-04-09,198.8500061035156,192.7826051996237
2025-04-10,190.4199981689453,195.3303778015925
2025-04-11,198.1499938964844,196.1165683760763
2025-04-14,202.5200042724609,197.02350835958032
2025-04-15,202.13999938964844,197.54553164785645
2025-04-16,194.2700042724609,198.04534651662868
2025-04-17,196.97999572753903,197.46272161859724
2025-04-21,193.16000366210932,197.89086717658526
2025-04-22,199.7400054931641,197.13372546486175
2025-04-23,204.6000061035156,197.74826283363382
2025-04-24,208.3699951171875,198.2497029356024
2025-04-25,209.27999877929688,198.95841851008623
2025-04-28,210.13999938964844,199.72468849359018
2025-04-29,211.2100067138672,200.03625928186676
2025-04-30,212.5,200.4850191506386
2025-05-01,213.32000732421875,200.74166425260753
2025-05-02,205.3500061035156,201.08814732709163
2025-05-05,198.88999938964844,200.21970981059528
2025-05-06,198.509994506836,198.50533309887177
2025-05-07,196.25,198.09713046764375
2025-05-08,197.4900054931641,197.71989556961273
2025-05-09,198.52999877929688,198.01069864409703
2025-05-12,210.7899932861328,198.57384112760033
2025-05-13,212.92999267578125,199.37308941587676
2025-05-14,212.3300018310547,200.21030178464875
2025-05-15,211.4499969482422,200.6421943866175
2025-05-16,211.259994506836,201.04666746110206
2025-05-19,208.77999877929688,201.48681994460551
2025-05-20,206.8600006103516,201.05703073288208
2025-05-21,202.08999633789065,200.60909810165393
2025-05-22,201.3600006103516,199.52138070362298
2025-05-23,195.2700042724609,199.172661278107
2025-05-27,200.2100067138672,198.25154954988705
2025-05-28,200.4199981689453,198.8637869186589
2025-05-29,199.9499969482422,199.10406202062774
