,test_actual,test_forecast
2025-01-16,228.25999450683597,203.9455745572817
2025-01-17,229.97999572753903,204.0839507062497
2025-01-21,222.63999938964844,204.31817724981013
2025-01-22,223.8300018310547,204.4484119873545
2025-01-23,223.66000366210935,204.24942719129194
2025-01-24,222.77999877929688,204.38780334026052
2025-01-27,229.8600006103516,204.8752933072675
2025-01-28,238.25999450683597,204.62202988382035
2025-01-29,239.3600006103516,204.75226462136396
2025-01-30,237.58999633789065,204.55327982530218
2025-01-31,236.0,204.69165597427022
2025-02-03,228.00999450683597,205.17914594127768
2025-02-04,232.8000030517578,204.92588251783073
2025-02-05,232.47000122070312,205.05611725537483
2025-02-06,233.22000122070312,204.85713245931245
2025-02-07,227.6300048828125,204.99550860828106
2025-02-10,227.6499938964844,205.48299857528784
2025-02-11,232.6199951171875,205.22973515184086
2025-02-12,236.8699951171875,205.3599698893847
2025-02-13,241.52999877929688,205.160985093322
2025-02-14,244.6000061035156,205.299361242291
2025-02-18,244.47000122070312,205.5335877858508
2025-02-19,244.8699951171875,205.66382252339508
2025-02-20,245.8300018310547,205.46483772733293
2025-02-21,245.5500030517578,205.6032138762999
2025-02-24,247.1000061035156,206.0907038433079
2025-02-25,247.0399932861328,205.83744041986088
2025-02-26,240.3600006103516,205.96767515740547
2025-02-27,237.3000030517578,205.76869036134264
2025-02-28,241.83999633789065,205.90706651030982
2025-03-03,238.02999877929688,206.3945564773184
2025-03-04,235.92999267578125,206.1412930538714
2025-03-05,235.7400054931641,206.27152779141497
2025-03-06,235.3300018310547,206.07254299535285
2025-03-07,239.07000732421875,206.21091914432063
2025-03-10,227.47999572753903,206.69840911132826
2025-03-11,220.83999633789065,206.44514568788142
2025-03-12,216.97999572753903,206.57538042542532
2025-03-13,209.67999267578125,206.3763956293624
2025-03-14,213.4900054931641,206.51477177833064
2025-03-17,214.0,207.00226174533873
2025-03-18,212.69000244140625,206.7489983218914
2025-03-19,215.2400054931641,206.87923305943522
2025-03-20,214.1000061035156,206.68024826337353
2025-03-21,218.2700042724609,206.81862441234145
2025-03-24,220.72999572753903,207.30611437934863
2025-03-25,223.75,207.05285095590142
2025-03-26,221.52999877929688,207.1830856934456
2025-03-27,223.8500061035156,206.98410089738374
2025-03-28,217.8999938964844,207.12247704635058
2025-03-31,222.1300048828125,207.60996701335887
2025-04-01,223.19000244140625,207.3567035899114
2025-04-02,223.88999938964844,207.48693832745556
2025-04-03,203.19000244140625,207.28795353139398
2025-04-04,188.3800048828125,207.4263296803614
2025-04-07,181.4600067138672,207.913819647369
2025-04-08,172.4199981689453,207.66055622392156
2025-04-09,198.8500061035156,207.79079096146594
2025-04-10,190.4199981689453,207.59180616540354
2025-04-11,198.1499938964844,207.7301823143711
2025-04-14,202.5200042724609,208.21767228137915
2025-04-15,202.13999938964844,207.96440885793146
2025-04-16,194.2700042724609,208.0946435954759
2025-04-17,196.97999572753903,207.89565879941307
2025-04-21,193.16000366210935,208.52152491538905
2025-04-22,199.7400054931641,208.26826149194207
2025-04-23,204.6000061035156,208.39849622948626
2025-04-24,208.3699951171875,208.19951143342334
2025-04-25,209.27999877929688,208.33788758239103
2025-04-28,210.13999938964844,208.82537754939892
2025-04-29,211.2100067138672,208.57211412595206
2025-04-30,212.5,208.70234886349576
2025-05-01,213.32000732421875,208.5033640674336
2025-05-02,205.3500061035156,208.64174021640184
2025-05-05,198.88999938964844,209.1292301834091
2025-05-06,198.50999450683597,208.8759667599621
2025-05-07,196.25,209.00620149750608
2025-05-08,197.4900054931641,208.807216701444
2025-05-09,198.52999877929688,208.94559285041265
2025-05-12,210.7899932861328,209.43308281741923
2025-05-13,212.92999267578125,209.17981939397208
2025-05-14,212.3300018310547,209.310054131516
2025-05-15,211.4499969482422,209.1110693354535
2025-05-16,211.25999450683597,209.24944548442264
2025-05-19,208.77999877929688,209.73693545142953
2025-05-20,206.8600006103516,209.4836720279827
2025-05-21,202.08999633789065,209.6139067655264
2025-05-22,201.3600006103516,209.41492196946447
2025-05-23,195.2700042724609,209.55329811843256
2025-05-27,200.2100067138672,209.78752466199265
2025-05-28,200.4199981689453,209.91775939953635
2025-05-29,199.9499969482422,209.718774603474
2025-05-30,200.8500061035156,209.85715075244144
2025-06-02,201.6999969482422,210.3446407194498
2025-06-03,203.2700042724609,210.09137729600275
2025-06-04,202.82000732421875,210.22161203354673
2025-06-05,200.6300048828125,210.02262723748427
2025-06-06,203.9199981689453,210.16100338645225
2025-06-09,201.4499969482422,210.6484933534597
2025-06-10,202.6699981689453,210.39522993001273
2025-06-11,198.77999877929688,210.52546466755663
2025-06-12,199.1999969482422,210.3264798714938
2025-06-13,196.4499969482422,210.46485602046224
2025-06-16,198.4199981689453,210.95234598747027
2025-06-17,195.63999938964844,210.6990825640227
2025-06-18,196.5800018310547,210.82931730156704
2025-06-20,201.0,210.76870865447276
2025-06-23,201.5,211.2561986214801
2025-06-24,200.3000030517578,211.00293519803273
2025-06-25,201.55999755859372,211.1331699355765
2025-06-26,201.0,210.93418513951445
2025-06-27,201.0800018310547,211.07256128848192
2025-06-30,205.1699981689453,211.56005125549027
2025-07-01,207.82000732421875,211.30678783204317
2025-07-02,212.44000244140625,211.43702256958687
2025-07-03,213.5500030517578,211.2380377735254
2025-07-07,209.9499969482422,211.86390388950042
2025-07-08,210.00999450683597,211.61064046605327
2025-07-09,211.13999938964844,211.74087520359726
2025-07-10,212.41000366210935,211.5418904075349
2025-07-11,211.16000366210935,211.68026655650266
2025-07-14,208.6199951171875,212.16775652351058
2025-07-15,209.1100006103516,211.9144931000633
2025-07-16,210.16000366210935,212.04472783760716
2025-07-17,210.0200042724609,211.84574304154532
2025-07-18,211.17999267578125,211.98411919051264
2025-07-21,212.47999572753903,212.47160915752048
2025-07-22,214.3999938964844,212.21834573407332
2025-07-23,214.1499938964844,212.34858047161802
2025-07-24,213.75999450683597,212.14959567555488
2025-07-25,213.8800048828125,212.28797182452266
2025-07-28,214.0500030517578,212.77546179153074
2025-07-29,211.2700042724609,212.52219836808334
2025-07-30,209.0500030517578,212.65243310562704
2025-07-31,207.57000732421875,212.45344830956586
2025-08-01,202.3800048828125,212.59182445853344
2025-08-04,203.3500061035156,213.0793144255406
2025-08-05,202.9199981689453,212.8260510020934
2025-08-06,213.25,212.95628573963742
2025-08-07,220.02999877929688,212.75730094357536
2025-08-08,229.3500061035156,212.89567709254314
2025-08-11,227.17999267578125,213.38316705955103
2025-08-12,229.6499938964844,213.12990363610334
2025-08-13,233.3300018310547,213.26013837364783
2025-08-14,232.77999877929688,213.06115357758492
2025-08-15,231.58999633789065,213.1995297265539
2025-08-18,230.88999938964844,213.6870196935609
2025-08-19,230.55999755859372,213.43375627011392
2025-08-20,226.00999450683597,213.56399100765822
2025-08-21,224.8999938964844,213.36500621159584
2025-08-22,227.75999450683597,213.5033823605631
2025-08-25,227.16000366210935,213.9908723275708
2025-08-26,229.30999755859372,213.7376089041239
2025-08-27,230.4900054931641,213.86784364166812
2025-08-28,232.55999755859372,213.6688588456054
2025-08-29,232.13999938964844,213.8072349945739
2025-09-02,229.72000122070312,214.04146153813406
2025-09-03,238.47000122070312,214.17169627567804
2025-09-04,239.77999877929688,213.9727114796158
2025-09-05,239.69000244140625,214.1110876285847
2025-09-08,237.8800048828125,214.59857759559114
2025-09-09,234.3500061035156,214.34531417214447
2025-09-10,226.7899932861328,214.47554890968794
2025-09-11,230.02999877929688,214.2765641136253
2025-09-12,234.07000732421875,214.41494026259355
2025-09-15,236.6999969482422,214.90243022960138
2025-09-16,238.1499938964844,214.64916680615454
2025-09-17,238.9900054931641,214.77940154369833
2025-09-18,237.8800048828125,214.58041674763558
2025-09-19,245.5,214.71879289660436
2025-09-22,256.0799865722656,215.20628286361125
2025-09-23,254.42999267578125,214.95301944016452
2025-09-24,252.30999755859372,215.08325417770783
2025-09-25,256.8699951171875,214.88426938164582
2025-09-26,255.4600067138672,215.02264553061352
2025-09-29,254.42999267578125,215.51013549762166
2025-09-30,254.6300048828125,215.25687207417442
2025-10-01,255.4499969482422,215.3871068117187
2025-10-02,257.1300048828125,215.18812201565606
2025-10-03,258.0199890136719,215.3264981646243
2025-10-06,256.69000244140625,215.81398813163193
2025-10-07,256.4800109863281,215.56072470818458
2025-10-08,258.0599975585937,215.69095944572857
2025-10-09,254.0399932861328,215.49197464966647
2025-10-10,245.2700042724609,215.63035079863428
2025-10-13,247.66000366210935,216.11784076564211
2025-10-14,247.7700042724609,215.86457734219456
2025-10-15,249.33999633789065,215.99481207973898
2025-10-16,247.4499969482422,215.79582728367672
2025-10-17,252.2899932861328,215.93420343264398
2025-10-20,262.239990234375,216.421693399652
2025-10-21,262.7699890136719,216.16842997620458
2025-10-22,258.45001220703125,216.2986647137493
2025-10-23,259.5799865722656,216.09967991768627
2025-10-24,262.82000732421875,216.23805606665394
2025-10-27,268.8099975585937,216.72554603366214
2025-10-28,269.0,216.47228261021513
2025-10-29,269.70001220703125,216.6025173477588
2025-10-30,271.3999938964844,216.4035325516972
2025-10-31,270.3699951171875,216.54190870066478
2025-11-03,269.04998779296875,217.02939866767204
2025-11-04,270.0400085449219,216.77613524422517
2025-11-05,270.1400146484375,216.9063699817692
2025-11-06,269.7699890136719,216.70738518570676
2025-11-07,268.4700012207031,216.8457613346747
2025-11-10,269.42999267578125,217.33325130168245
2025-11-11,275.25,217.07998787823516
2025-11-12,273.4700012207031,217.21022261577914
2025-11-13,272.95001220703125,217.01123781971714
2025-11-14,272.4100036621094,217.14961396868557
2025-11-17,267.4599914550781,217.63710393569235
2025-11-18,267.44000244140625,217.38384051224517
2025-11-19,268.5599975585937,217.5140752497895
2025-11-20,266.25,217.31509045372738
2025-11-21,271.489990234375,217.45346660269468
2025-11-24,275.9200134277344,217.9409565697026
2025-11-25,276.9700012207031,217.68769314625513
2025-11-26,277.54998779296875,217.81792788379943
2025-11-28,278.8500061035156,217.7573192367055
2025-12-01,283.1000061035156,218.24480920371278
2025-12-02,286.19000244140625,217.99154578026526
2025-12-03,284.1499938964844,218.12178051780933
2025-12-04,280.70001220703125,217.92279572174715
2025-12-05,278.7799987792969,218.06117187071519
2025-12-08,277.8900146484375,218.54866183772293
2025-12-09,277.17999267578125,218.29539841427578
2025-12-10,278.7799987792969,218.42563315181974
2025-12-11,278.0299987792969,218.22664835575674
2025-12-12,278.2799987792969,218.36502450472517
2025-12-15,274.1099853515625,218.8525144717328
2025-12-16,274.6099853515625,218.59925104828585
2025-12-17,271.8399963378906,218.72948578583012
2025-12-18,272.19000244140625,218.53050098976698
2025-12-19,273.6700134277344,218.66887713873516
2025-12-22,270.9700012207031,219.15636710574265
2025-12-23,272.3599853515625,218.90310368229578
2025-12-24,273.8099975585937,219.03333841983962
2025-12-26,273.3999938964844,218.9727297727448
2025-12-29,273.760009765625,219.46021973975283
2025-12-30,273.0799865722656,219.20695631630582
2025-12-31,271.8599853515625,219.33719105384995
2026-01-02,271.010009765625,219.27658240675478
2026-01-05,267.260009765625,219.76407237376367
2026-01-06,262.3599853515625,219.51080895031635
2026-01-07,260.3299865722656,219.64104368785993
2026-01-08,259.0400085449219,219.44205889179716
2026-01-09,259.3699951171875,219.58043504076562
2026-01-12,260.25,220.06792500777354
2026-01-13,261.04998779296875,219.8146615843264
2026-01-14,259.9599914550781,219.94489632187023
2026-01-15,258.2099914550781,219.74591152580814
2026-01-16,255.52999877929688,219.88428767477475
