,test_actual,test_forecast
2025-01-17,104462.0390625,50540.58135448494
2025-01-18,104408.0703125,54914.7667907913
2025-01-19,101089.609375,58287.74618098838
2025-01-20,102016.6640625,60504.358464796445
2025-01-21,106146.265625,62204.18696807326
2025-01-22,103653.0703125,63773.8525458096
2025-01-23,103960.171875,64495.47296800453
2025-01-24,104819.484375,65060.52915330582
2025-01-25,104714.6484375,65427.982171762116
2025-01-26,102682.5,65603.82764752726
2025-01-27,102087.6875,65287.983757169175
2025-01-28,101332.4765625,64892.211855295885
2025-01-29,103703.2109375,64509.523627616676
2025-01-30,104735.3046875,64434.003945728255
2025-01-31,102405.0234375,64633.18628928502
2025-02-01,100655.90625,64498.0843069273
2025-02-02,97688.9765625,64191.66277399574
2025-02-03,101405.421875,63608.011747050434
2025-02-04,97871.8203125,63710.72541270879
2025-02-05,96615.4453125,63477.312571750954
2025-02-06,96593.296875,63076.14495535796
2025-02-07,96529.0859375,62929.83984547619
2025-02-08,96482.453125,62885.07691069703
2025-02-09,96500.09375,62926.54426592783
2025-02-10,97437.5546875,62975.71164468043
2025-02-11,95747.4296875,63170.22762470446
2025-02-12,97885.859375,63149.00248981395
2025-02-13,96623.8671875,63268.582403407156
2025-02-14,97508.96875,63303.146023058405
2025-02-15,97580.3515625,63418.390602248895
2025-02-16,96175.03125,63536.58169794488
2025-02-17,95773.3828125,63427.16258320548
2025-02-18,95539.546875,63317.927308787504
2025-02-19,96635.609375,63251.32592692875
2025-02-20,98333.9375,63248.39483845253
2025-02-21,96125.546875,63553.4422095162
2025-02-22,96577.7578125,63520.92928774289
2025-02-23,96273.921875,63550.802884096716
2025-02-24,91418.171875,63519.50901890811
2025-02-25,88736.171875,62959.56124479677
2025-02-26,84347.0234375,62282.51386272871
2025-02-27,84704.2265625,61270.80727439557
2025-02-28,84373.0078125,60788.32064536157
2025-03-01,86031.9140625,60560.54697365474
2025-03-02,94248.3515625,60727.44781996331
2025-03-03,86065.671875,61735.56895480573
2025-03-04,87222.1953125,61679.62118067298
2025-03-05,90623.5625,61735.11229861955
2025-03-06,89961.7265625,62048.602210276455
2025-03-07,86742.671875,62287.95583124928
2025-03-08,86154.59375,62062.522909537845
2025-03-09,80601.0390625,61826.26650584959
2025-03-10,78532.0,61037.23639068969
2025-03-11,82862.2109375,60306.7176165585
2025-03-12,83722.359375,60378.47223450399
2025-03-13,81066.703125,60534.238646161626
2025-03-14,83969.1015625,60496.704517134014
2025-03-15,84343.109375,60795.267845422815
2025-03-16,82579.6875,61102.231441734264
2025-03-17,84075.6875,61104.85632657484
2025-03-18,82718.5,61268.22605244348
2025-03-19,86854.2265625,61257.13467038893
2025-03-20,84167.1953125,61573.4220820467
2025-03-21,84043.2421875,61599.389453019
2025-03-22,83832.484375,61568.41928130778
2025-03-23,86054.375,61537.08137761929
2025-03-24,87498.9140625,61740.24876245967
2025-03-25,87471.703125,62079.065988328424
2025-03-26,86900.8828125,62331.83960627398
2025-03-27,87177.1015625,62310.924517931584
2025-03-28,84353.1484375,62374.484388903875
2025-03-29,82597.5859375,62094.09521719265
2025-03-30,82334.5234375,61711.83131350418
2025-03-31,82548.9140625,61414.14744834458
2025-04-01,85169.171875,61299.935924213445
2025-04-02,82485.7109375,61580.8010421589
2025-04-03,83102.828125,61426.74195381647
2025-04-04,83843.8046875,61469.49932478886
2025-04-05,83504.796875,61598.49615307762
2025-04-06,78214.484375,61689.7862493891
2025-04-07,79235.3359375,61161.05213422954
2025-04-08,76271.953125,60913.35836009827
2025-04-09,82573.953125,60498.00072804374
2025-04-10,79626.140625,60805.01688970135
2025-04-11,83404.8359375,60871.86801067371
2025-04-12,85287.109375,61316.88133896249
2025-04-13,83684.9765625,61872.393685273986
2025-04-14,84542.390625,62061.388570114505
2025-04-15,83668.9921875,62259.9132959833
2025-04-16,84033.8671875,62296.789413928855
2025-04-17,84895.75,62218.39432558624
2025-04-18,84450.8046875,62323.09919655863
2025-04-19,85063.4140625,62343.087524847564
2025-04-20,85174.3046875,62441.57362115888
2025-04-21,87518.90625,62504.24350599934
2025-04-22,93441.890625,62826.99073186809
2025-04-23,93699.109375,63677.7280998137
2025-04-24,93943.796875,64210.91276147112
2025-04-25,94720.5,64636.42663244356
2025-04-26,94646.9296875,64939.434960732426
2025-04-27,93754.84375,65089.4998070438
2025-04-28,94978.75,65002.20094188416
2025-04-29,94284.7890625,65056.68916775301
2025-04-30,94207.3125,65025.65803569868
2025-05-01,96492.3359375,64873.190697356
2025-05-02,96910.0703125,65115.794068328534
2025-05-03,95891.796875,65350.44114661736
2025-05-04,94315.9765625,65401.135992928816
2025-05-05,94748.0546875,65202.46587776914
2025-05-06,96802.4765625,65122.115603637925
2025-05-07,97032.3203125,65345.37522158353
2025-05-08,103241.4609375,65444.300383241105
2025-05-09,102970.8515625,66288.20900421351
2025-05-10,104696.328125,66866.36333250224
2025-05-11,104106.359375,67415.36592881358
2025-05-12,102812.953125,67620.2398136541
2025-05-13,104169.8125,67529.67303952295
2025-05-14,103539.4140625,67583.06665746844
2025-05-15,103744.640625,67418.347569126
2025-05-16,103489.2890625,67390.64744009843
2025-05-17,103191.0859375,67343.7972683872
2025-05-18,106446.0078125,67306.8308646986
2025-05-19,105606.1796875,67670.525749539
2025-05-20,106791.0859375,67867.10047540764
2025-05-21,109678.078125,68135.4715933533
2025-05-22,111673.28125,68545.42150501088
2025-05-23,107287.796875,69128.73887598337
2025-05-24,107791.15625,68919.94820427203
2025-05-25,109035.390625,68753.07080058347
2025-05-26,109440.3671875,68767.14318542383
2025-05-27,108994.640625,68869.31791129266
2025-05-28,107802.328125,68911.07652923821
2025-05-29,105641.7578125,68675.11894089574
2025-05-30,103998.5703125,68319.27881186816
2025-05-31,104638.09375,67889.10714015702
2025-06-01,105652.1015625,67751.5907364685
2025-06-02,105881.53125,67844.37812130892
2025-06-03,105432.46875,68020.68534717748
2025-06-04,104731.984375,68132.33396512325
2025-06-05,101575.953125,68015.63012678064
2025-06-06,104390.34375,67627.98624775314
2025-06-07,105615.625,67710.65707604188
2025-06-08,105793.6484375,68010.42567235336
2025-06-09,110294.1015625,68241.72805719377
2025-06-10,110257.234375,68958.76028306253
2025-06-11,108686.625,69473.23890100817
2025-06-12,105929.0546875,69440.70881266551
2025-06-13,106090.96875,69063.11368363806
2025-06-14,105472.40625,68777.11701192695
2025-06-15,105552.0234375,68560.3268582383
2025-06-16,106796.7578125,68444.3879930788
2025-06-17,104601.1171875,68592.83646894756
2025-06-18,104883.328125,68490.69633689302
2025-06-19,104684.2890625,68349.3672485504
2025-06-20,103309.6015625,68337.44236952296
2025-06-21,102257.40625,68185.95194781182
2025-06-22,100987.140625,67993.74804412319
2025-06-23,105577.7734375,67718.63292896363
2025-06-24,106045.6328125,68153.86615483247
2025-06-25,107361.2578125,68607.05627277799
2025-06-26,106960.0,68959.3761844355
2025-06-27,107088.4296875,69196.13855540784
2025-06-28,107327.703125,69315.2978836967
2025-06-29,108385.5703125,69407.49173000822
2025-06-30,107135.3359375,69552.5778648486
2025-07-01,105698.28125,69505.43759071737
2025-07-02,108859.3203125,69289.63620866285
2025-07-03,109647.9765625,69423.3111203204
2025-07-04,108034.3359375,69735.94849129282
2025-07-05,108231.1796875,69741.10431958166
2025-07-06,109232.0703125,69755.88541589296
2025-07-07,108299.8515625,69864.29530073356
2025-07-08,108950.2734375,69849.2775266022
2025-07-09,111326.5546875,69929.9811445477
2025-07-10,115987.203125,70182.76855620526
2025-07-11,117516.9921875,71022.26992717774
2025-07-12,117435.2265625,71784.35425546639
2025-07-13,119116.1171875,72217.87935177803
2025-07-14,119849.703125,72578.34898661853
2025-07-15,117777.1875,72845.01396248721
2025-07-16,118738.5078125,72682.6735804326
2025-07-17,119289.84375,72505.34749209038
2025-07-18,118003.2265625,72532.75461306267
2025-07-19,117939.9765625,72385.77169135147
2025-07-20,117300.7890625,72293.32028766278
2025-07-21,117439.5390625,72147.56017250336
2025-07-22,119995.4140625,72113.56114837214
2025-07-23,118754.9609375,72482.5410163176
2025-07-24,118368.0,72494.31592797527
2025-07-25,117635.8828125,72492.22579894759
2025-07-26,117947.3671875,72378.41162723633
2025-07-27,119448.4921875,72366.16022354779
2025-07-28,117924.4765625,72558.44260838829
2025-07-29,117922.1484375,72534.84483425706
2025-07-30,117831.1875,72522.01845220264
2025-07-31,115758.203125,72404.04586386014
2025-08-01,113320.0859375,72144.33823483257
2025-08-02,112526.9140625,71677.03031312131
2025-08-03,114217.671875,71326.23265943282
2025-08-04,115071.8828125,71361.1250442731
2025-08-05,114141.4453125,71615.234770142
2025-08-06,115028.0,71733.7048880875
2025-08-07,117496.8984375,71817.00329974503
2025-08-08,116688.7265625,72278.17067071742
2025-08-09,116500.359375,72485.7864990063
2025-08-10,119306.7578125,72569.20009531757
2025-08-11,118731.4453125,72934.60498015818
2025-08-12,120172.90625,73124.79720602703
2025-08-13,123344.0625,73410.26332397253
2025-08-14,118359.578125,73884.55323562992
2025-08-15,117398.3515625,73587.6906066024
2025-08-16,117491.3515625,73146.57893489112
2025-08-17,117453.0625,72898.3075312026
2025-08-18,116252.3125,72765.31391604301
2025-08-19,112831.1796875,72600.7246419118
2025-08-20,114274.7421875,72129.34325985739
2025-08-21,112419.03125,71908.6156715148
2025-08-22,116874.0859375,71699.51554248728
2025-08-23,115374.328125,72188.41887077609
2025-08-24,113458.4296875,72433.79746708751
2025-08-25,110124.3515625,72299.20885192786
2025-08-26,111802.65625,71774.00957779674
2025-08-27,111222.0625,71662.7469457423
2025-08-28,112544.8046875,71497.88060739967
2025-08-29,108410.8359375,71685.81547837224
2025-08-30,108808.0703125,71336.02130666107
2025-08-31,108236.7109375,71166.66140297253
2025-09-01,109250.59375,71023.45228781295
2025-09-02,111200.5859375,71131.12201368155
2025-09-03,111723.2109375,71527.41563162721
2025-09-04,110723.6015625,71783.4342932848
2025-09-05,110650.984375,71887.82541425724
2025-09-06,110224.6953125,71907.49724254593
2025-09-07,111167.6171875,71873.52483885743
2025-09-08,112071.4296875,71944.01472369778
2025-09-09,111530.546875,72143.94294956644
2025-09-10,113955.359375,72237.95681751212
2025-09-11,115507.5390625,72483.66897916967
2025-09-12,116101.578125,72931.03785014203
2025-09-13,115950.5078125,73279.17867843101
2025-09-14,115407.65625,73458.91602474231
2025-09-15,115444.875,73424.3856595827
2025-09-16,116843.1875,73382.41938545136
2025-09-17,116468.5078125,73545.37300339698
2025-09-18,117137.203125,73506.78041505456
2025-09-19,115688.859375,73627.577786027
2025-09-20,115721.9609375,73515.60736431573
2025-09-21,115306.09375,73448.21471062719
2025-09-22,112748.5078125,73342.97459546753
2025-09-23,112014.5,72981.4793213364
2025-09-24,113328.6328125,72681.56793928196
2025-09-25,109049.2890625,72603.97635093944
2025-09-26,109712.828125,72159.44522191188
2025-09-27,109681.9453125,71962.28755020071
2025-09-28,112122.640625,71939.19964651219
2025-09-29,114400.3828125,72279.66703135263
2025-09-30,114056.0859375,72878.47925722144
2025-10-01,118648.9296875,73264.52787516694
2025-10-02,120681.2578125,73943.07278682431
2025-10-03,122266.53125,74714.33915779686
2025-10-04,122425.4296875,75341.46098608559
2025-10-05,123513.4765625,75679.90208239696
2025-10-06,124752.53125,75896.46321723753
2025-10-07,121451.3828125,76137.56919310623
2025-10-08,123354.8671875,75806.91031105185
2025-10-09,121705.5859375,75649.87022270943
2025-10-10,113214.3671875,75433.85134368177
2025-10-11,110807.8828125,74236.58092197045
2025-10-12,115169.765625,73172.87451828203
2025-10-13,115271.078125,73133.2694031225
2025-10-14,113118.6640625,73348.01662899127
2025-10-15,110783.1640625,73323.9177469367
2025-10-16,108186.0390625,72917.90515859431
2025-10-17,106467.7890625,72432.36752956662
2025-10-18,107198.265625,71950.09735785553
2025-10-19,108666.7109375,71820.98695416692
2025-10-20,110588.9296875,72009.57183900733
2025-10-21,108476.890625,72482.9040648762
2025-10-22,107688.5859375,72595.75768282157
2025-10-23,110069.7265625,72432.2925944792
2025-10-24,111033.921875,72690.75246545154
2025-10-25,111641.7265625,73015.6632937404
2025-10-26,114472.4453125,73326.64314005179
2025-10-27,114119.328125,73843.63827489229
2025-10-28,112956.1640625,74145.56150076099
2025-10-29,110055.3046875,74148.15886870652
2025-10-30,108305.546875,73604.88853036409
2025-10-31,109556.1640625,73061.02740133653
2025-11-01,110064.015625,72896.37947962536
2025-11-02,110639.625,72966.95182593673
2025-11-03,106547.5234375,73126.7742107771
2025-11-04,101590.5234375,72773.0789366459
2025-11-05,103891.8359375,71937.65755459137
2025-11-06,101301.2890625,71578.71996624894
2025-11-07,103372.40625,71235.20733722145
2025-11-08,102282.1171875,71336.0146655102
2025-11-09,104719.640625,71395.83926182162
2025-11-10,105996.59375,71749.86664666221
2025-11-11,102997.46875,72210.85387253095
2025-11-12,101663.1875,72175.19499047649
2025-11-13,99697.4921875,71826.70240213406
2025-11-14,94397.7890625,71423.79077310643
2025-11-15,95549.1484375,70538.85310139517
2025-11-16,94177.078125,70147.6616977065
2025-11-17,92093.875,69833.18408254706
2025-11-18,92948.875,69498.85530841586
2025-11-19,91465.9921875,69478.29242636134
2025-11-20,86631.8984375,69277.12608801895
2025-11-21,85090.6875,68719.01470899131
2025-11-22,84648.359375,68201.77803728014
2025-11-23,86805.0078125,67907.21663359151
2025-11-24,88270.5625,68018.31751843196
2025-11-25,87341.890625,68371.5162443009
2025-11-26,90518.3671875,68586.66986224626
2025-11-27,91285.375,68974.16377390383
2025-11-28,90919.265625,69420.63214487628
2025-11-29,90851.7578125,69666.54047316499
2025-11-30,90394.3125,69808.34156947653
2025-12-01,86321.5703125,69794.65895431692
2025-12-02,91350.203125,69319.08618018572
2025-12-03,93527.8046875,69556.07229813116
2025-12-04,92141.625,69915.26720978873
2025-12-05,89387.7578125,70100.02958076114
2025-12-06,89272.375,69881.61040904986
2025-12-07,90405.640625,69708.78900536141
2025-12-08,90640.203125,69710.46389020188
2025-12-09,92691.7109375,69788.96111607051
2025-12-10,92020.9453125,70113.71473401622
2025-12-11,92511.3359375,70168.0871456736
2025-12-12,90270.4140625,70320.06951664606
2025-12-13,90298.7109375,70157.40534493492
2025-12-14,88175.1796875,70050.55894124629
2025-12-15,86419.78125,69728.95632608671
2025-12-16,87843.984375,69344.68505195543
2025-12-17,86143.7578125,69299.88716990106
2025-12-18,85462.5078125,69035.43208155848
2025-12-19,88103.3828125,68893.164452531
2025-12-20,88344.0,69130.9577808198
2025-12-21,88621.75,69399.76737713123
2025-12-22,88490.015625,69604.52226197155
2025-12-23,87414.0,69749.23348784045
2025-12-24,87611.9609375,69736.86960578604
2025-12-25,87234.7421875,69624.46801744336
2025-12-26,87301.4296875,69586.55688841583
2025-12-27,87802.15625,69572.84771670475
2025-12-28,87835.8359375,69656.55381301625
2025-12-29,87138.140625,69712.60369785651
2025-12-30,88430.1328125,69703.13842372537
2025-12-31,87508.828125,69865.63954167088
2026-01-01,88731.984375,69782.13845332847
2026-01-02,89944.6953125,69933.80532430076
2026-01-03,90603.1875,70182.42015258964
2026-01-04,91413.4921875,70450.93624890101
2026-01-05,93882.5546875,70690.94363374167
2026-01-06,93729.03125,71136.93335961018
2026-01-07,91308.0546875,71430.67072755581
2026-01-08,91027.125,71198.74938921336
2026-01-09,90513.1015625,71030.96776018573
2026-01-10,90386.6484375,70849.0865884746
2026-01-11,90827.4609375,70746.10118478602
2026-01-12,91192.9921875,70728.91206962652
2026-01-13,95321.78125,70811.86429549509
2026-01-14,96929.328125,71376.63941344066
2026-01-15,95551.1875,71864.64182509822
