Date,test_actual,test_forecast
2025-01-17,104462.0390625,42234.97
2025-01-18,104408.0703125,59580.066
2025-01-19,101089.609375,72857.555
2025-01-20,102016.6640625,81640.47
2025-01-21,106146.265625,88269.07
2025-01-22,103653.0703125,94316.33
2025-01-23,103960.171875,97455.77
2025-01-24,104819.484375,99554.46
2025-01-25,104714.6484375,100889.16
2025-01-26,102682.5,101380.22
2025-01-27,102087.6875,100032.76
2025-01-28,101332.4765625,98278.79
2025-01-29,103703.2109375,96516.695
2025-01-30,104735.3046875,96467.555
2025-01-31,102405.0234375,97102.766
2025-02-01,100655.90625,96427.234
2025-02-02,97688.9765625,94989.234
2025-02-03,101405.421875,92570.54
2025-02-04,97871.8203125,92810.516
2025-02-05,96615.4453125,91645.52
2025-02-06,96593.296875,90293.79
2025-02-07,96529.0859375,89547.05
2025-02-08,96482.453125,89232.875
2025-02-09,96500.09375,89186.43
2025-02-10,97437.5546875,89299.01
2025-02-11,95747.4296875,89906.195
2025-02-12,97885.859375,89589.95
2025-02-13,96623.8671875,90321.21
2025-02-14,97508.96875,90297.945
2025-02-15,97580.3515625,90623.8
2025-02-16,96175.03125,90884.25
2025-02-17,95773.3828125,90362.484
2025-02-18,95539.546875,89754.664
2025-02-19,96635.609375,89256.914
2025-02-20,98333.9375,89498.13
2025-02-21,96125.546875,90556.8
2025-02-22,96577.7578125,90291.625
2025-02-23,96273.921875,90198.805
2025-02-24,91418.171875,89989.54
2025-02-25,88736.171875,87578.87
2025-02-26,84347.0234375,84639.336
2025-02-27,84704.2265625,80845.45
2025-02-28,84373.0078125,78753.984
2025-03-01,86031.9140625,77707.766
2025-03-02,94248.3515625,78163.055
2025-03-03,86065.671875,82111.45
2025-03-04,87222.1953125,81716.78
2025-03-05,90623.5625,81707.4
2025-03-06,89961.7265625,83214.3
2025-03-07,86742.671875,84010.195
2025-03-08,86154.59375,82973.34
2025-03-09,80601.0390625,81816.0
2025-03-10,78532.0,78575.79
2025-03-11,82862.2109375,75482.836
2025-03-12,83722.359375,75538.51
2025-03-13,81066.703125,76414.516
2025-03-14,83969.1015625,76102.86
2025-03-15,84343.109375,77161.99
2025-03-16,82579.6875,78177.53
2025-03-17,84075.6875,78103.94
2025-03-18,82718.5,78586.54
2025-03-19,86854.2265625,78310.83
2025-03-20,84167.1953125,79828.92
2025-03-21,84043.2421875,79771.27
2025-03-22,83832.484375,79512.266
2025-03-23,86054.375,79174.6
2025-03-24,87498.9140625,79903.18
2025-03-25,87471.703125,81087.57
2025-03-26,86900.8828125,81867.32
2025-03-27,87177.1015625,82036.6
2025-03-28,84353.1484375,82129.32
2025-03-29,82597.5859375,80872.64
2025-03-30,82334.5234375,79131.27
2025-03-31,82548.9140625,77856.445
2025-04-01,85169.171875,77228.72
2025-04-02,82485.7109375,78120.836
2025-04-03,83102.828125,77757.54
2025-04-04,83843.8046875,77767.05
2025-04-05,83504.796875,78147.914
2025-04-06,78214.484375,78300.76
2025-04-07,79235.3359375,76101.734
2025-04-08,76271.953125,74940.08
2025-04-09,82573.953125,73047.305
2025-04-10,79626.140625,74528.31
2025-04-11,83404.8359375,74634.195
2025-04-12,85287.109375,76279.125
2025-04-13,83684.9765625,78288.86
2025-04-14,84542.390625,78960.75
2025-04-15,83668.9921875,79583.97
2025-04-16,84033.8671875,79500.13
2025-04-17,84895.75,79439.49
2025-04-18,84450.8046875,79696.79
2025-04-19,85063.4140625,79641.62
2025-04-20,85174.3046875,79823.25
2025-04-21,87518.90625,79989.84
2025-04-22,93441.890625,81109.95
2025-04-23,93699.109375,84281.555
2025-04-24,93943.796875,86667.234
2025-04-25,94720.5,88207.77
2025-04-26,94646.9296875,89284.68
2025-04-27,93754.84375,89672.625
2025-04-28,94978.75,89239.34
2025-04-29,94284.7890625,89286.414
2025-04-30,94207.3125,88930.945
2025-05-01,96492.3359375,88574.016
2025-05-02,96910.0703125,89382.91
2025-05-03,95891.796875,90186.375
2025-05-04,94315.9765625,90176.84
2025-05-05,94748.0546875,89298.07
2025-05-06,96802.4765625,88805.79
2025-05-07,97032.3203125,89467.484
2025-05-08,103241.4609375,90116.125
2025-05-09,102970.8515625,93330.24
2025-05-10,104696.328125,95507.734
2025-05-11,104106.359375,97491.43
2025-05-12,102812.953125,98226.836
2025-05-13,104169.8125,97693.69
2025-05-14,103539.4140625,97675.92
2025-05-15,103744.640625,97269.984
2025-05-16,103489.2890625,96997.664
2025-05-17,103191.0859375,96675.14
2025-05-18,106446.0078125,96314.96
2025-05-19,105606.1796875,97685.65
2025-05-20,106791.0859375,98301.07
2025-05-21,109678.078125,99143.21
2025-05-22,111673.28125,101035.95
2025-05-23,107287.796875,103207.7
2025-05-24,107791.15625,102237.414
2025-05-25,109035.390625,101357.59
2025-05-26,109440.3671875,101329.79
2025-05-27,108994.640625,101567.61
2025-05-28,107802.328125,101503.3
2025-05-29,105641.7578125,100812.41
2025-05-30,103998.5703125,99227.53
2025-05-31,104638.09375,97371.72
2025-06-01,105652.1015625,96609.34
2025-06-02,105881.53125,96896.4
2025-06-03,105432.46875,97430.75
2025-06-04,104731.984375,97646.0
2025-06-05,101575.953125,97432.125
2025-06-06,104390.34375,95720.03
2025-06-07,105615.625,95915.59
2025-06-08,105793.6484375,96902.35
2025-06-09,110294.1015625,97743.47
2025-06-10,110257.234375,100440.72
2025-06-11,108686.625,102267.29
2025-06-12,105929.0546875,102390.11
2025-06-13,106090.96875,100718.21
2025-06-14,105472.40625,99439.1
2025-06-15,105552.0234375,98359.625
2025-06-16,106796.7578125,97811.78
2025-06-17,104601.1171875,98234.695
2025-06-18,104883.328125,97594.79
2025-06-19,104684.2890625,97282.414
2025-06-20,103309.6015625,97073.195
2025-06-21,102257.40625,96332.11
2025-06-22,100987.140625,95350.98
2025-06-23,105577.7734375,94166.43
2025-06-24,106045.6328125,95736.484
2025-06-25,107361.2578125,97317.9
2025-06-26,106960.0,98980.12
2025-06-27,107088.4296875,99765.65
2025-06-28,107327.703125,100107.164
2025-06-29,108385.5703125,100263.625
2025-06-30,107135.3359375,100759.88
