,test_actual,test_forecast
2025-01-17,104462.0390625,58612.580344361704
2025-01-18,104408.0703125,58680.14200093957
2025-01-19,101089.609375,58786.299193562096
2025-01-20,102016.6640625,58828.34396324299
2025-01-21,106146.265625,58913.783414980884
2025-01-22,103653.0703125,59029.45565087158
2025-01-23,103960.171875,58902.985474186746
2025-01-24,104819.484375,58983.745216131654
2025-01-25,104714.6484375,59051.30687270905
2025-01-26,102682.5,59157.46406533189
2025-01-27,102087.6875,59199.50883501266
2025-01-28,101332.4765625,59284.94828675052
2025-01-29,103703.2109375,59400.620522641526
2025-01-30,104735.3046875,59274.15034595651
2025-01-31,102405.0234375,59354.91008790136
2025-02-01,100655.90625,59422.471744478986
2025-02-02,97688.9765625,59528.628937101916
2025-02-03,101405.421875,59570.67370678258
2025-02-04,97871.8203125,59656.11315852031
2025-02-05,96615.4453125,59771.78539441152
2025-02-06,96593.296875,59645.31521772627
2025-02-07,96529.0859375,59726.07495967131
2025-02-08,96482.453125,59793.63661624872
2025-02-09,96500.09375,59899.79380887143
2025-02-10,97437.5546875,59941.83857855251
2025-02-11,95747.4296875,60027.27803028994
2025-02-12,97885.859375,60142.95026618134
2025-02-13,96623.8671875,60016.48008949606
2025-02-14,97508.96875,60097.23983144117
2025-02-15,97580.3515625,60164.80148801846
2025-02-16,96175.03125,60270.95868064153
2025-02-17,95773.3828125,60313.00345032243
2025-02-18,95539.546875,60398.442902060015
2025-02-19,96635.609375,60514.115137951034
2025-02-20,98333.9375,60387.6449612658
2025-02-21,96125.546875,60468.404703210756
2025-02-22,96577.7578125,60535.96635978862
2025-02-23,96273.921875,60642.12355241133
2025-02-24,91418.171875,60684.168322092104
2025-02-25,88736.171875,60769.60777382985
2025-02-26,84347.0234375,60885.28000972074
2025-02-27,84704.2265625,60758.809833036015
2025-02-28,84373.0078125,60839.56957498061
2025-03-01,86031.9140625,60907.13123155835
2025-03-02,94248.3515625,61013.28842418135
2025-03-03,86065.671875,61055.33319386218
2025-03-04,87222.1953125,61140.77264559943
2025-03-05,90623.5625,61256.4448814907
2025-03-06,89961.7265625,61129.97470480579
2025-03-07,86742.671875,61210.73444675055
2025-03-08,86154.59375,61278.296103328285
2025-03-09,80601.0390625,61384.453295951374
2025-03-10,78532.0,61426.49806563185
2025-03-11,82862.2109375,61511.93751736927
2025-03-12,83722.359375,61627.609753260396
2025-03-13,81066.703125,61501.139576575566
2025-03-14,83969.1015625,61581.899318520416
2025-03-15,84343.109375,61649.46097509798
2025-03-16,82579.6875,61755.618167720895
2025-03-17,84075.6875,61797.66293740202
2025-03-18,82718.5,61883.10238913934
2025-03-19,86854.2265625,61998.77462503021
2025-03-20,84167.1953125,61872.30444834577
2025-03-21,84043.2421875,61953.064190290366
2025-03-22,83832.484375,62020.625846867915
2025-03-23,86054.375,62126.78303949094
2025-03-24,87498.9140625,62168.8278091717
2025-03-25,87471.703125,62254.2672609092
2025-03-26,86900.8828125,62369.93949680032
2025-03-27,87177.1015625,62243.469320115524
2025-03-28,84353.1484375,62324.22906206011
2025-03-29,82597.5859375,62391.79071863764
2025-03-30,82334.5234375,62497.94791126071
2025-03-31,82548.9140625,62539.992680941505
2025-04-01,85169.171875,62625.43213267925
2025-04-02,82485.7109375,62741.10436857015
2025-04-03,83102.828125,62614.63419188529
2025-04-04,83843.8046875,62695.39393383008
2025-04-05,83504.796875,62762.95559040759
2025-04-06,78214.484375,62869.112783030556
2025-04-07,79235.3359375,62911.15755271144
2025-04-08,76271.953125,62996.59700444888
2025-04-09,82573.953125,63112.26924033985
2025-04-10,79626.140625,62985.79906365507
2025-04-11,83404.8359375,63066.55880559977
2025-04-12,85287.109375,63134.12046217734
2025-04-13,83684.9765625,63240.27765480033
2025-04-14,84542.390625,63282.32242448136
2025-04-15,83668.9921875,63367.761876218945
2025-04-16,84033.8671875,63483.434112110066
2025-04-17,84895.75,63356.963935424836
2025-04-18,84450.8046875,63437.72367736961
2025-04-19,85063.4140625,63505.28533394748
2025-04-20,85174.3046875,63611.442526570114
2025-04-21,87518.90625,63653.487296251034
2025-04-22,93441.890625,63738.926747988524
2025-04-23,93699.109375,63854.59898387977
2025-04-24,93943.796875,63728.12880719459
2025-04-25,94720.5,63808.88854913947
2025-04-26,94646.9296875,63876.450205717214
2025-04-27,93754.84375,63982.60739833996
2025-04-28,94978.75,64024.652168020686
2025-04-29,94284.7890625,64110.09161975837
2025-04-30,94207.3125,64225.76385564972
2025-05-01,96492.3359375,64099.293678964365
2025-05-02,96910.0703125,64180.05342090943
2025-05-03,95891.796875,64247.615077487084
2025-05-04,94315.9765625,64353.772270109985
2025-05-05,94748.0546875,64395.81703979062
2025-05-06,96802.4765625,64481.25649152821
2025-05-07,97032.3203125,64596.92872741942
2025-05-08,103241.4609375,64470.45855073458
2025-05-09,102970.8515625,64551.21829267938
2025-05-10,104696.328125,64618.77994925684
2025-05-11,104106.359375,64724.937141879505
2025-05-12,102812.953125,64766.98191156056
2025-05-13,104169.8125,64852.42136329827
2025-05-14,103539.4140625,64968.09359918924
2025-05-15,103744.640625,64841.623422504344
2025-05-16,103489.2890625,64922.38316444923
2025-05-17,103191.0859375,64989.94482102677
2025-05-18,106446.0078125,65096.10201364955
2025-05-19,105606.1796875,65138.14678333037
2025-05-20,106791.0859375,65223.58623506764
2025-05-21,109678.078125,65339.25847095895
2025-05-22,111673.28125,65212.788294274105
2025-05-23,107287.796875,65293.54803621909
2025-05-24,107791.15625,65361.10969279643
2025-05-25,109035.390625,65467.26688541931
2025-05-26,109440.3671875,65509.31165510003
2025-05-27,108994.640625,65594.75110683769
2025-05-28,107802.328125,65710.42334272878
2025-05-29,105641.7578125,65583.95316604387
2025-05-30,103998.5703125,65664.71290798868
2025-05-31,104638.09375,65732.27456456638
2025-06-01,105652.1015625,65838.43175718935
2025-06-02,105881.53125,65880.47652687022
2025-06-03,105432.46875,65965.91597860733
2025-06-04,104731.984375,66081.58821449887
2025-06-05,101575.953125,65955.11803781363
2025-06-06,104390.34375,66035.87777975864
2025-06-07,105615.625,66103.43943633614
2025-06-08,105793.6484375,66209.5966289591
2025-06-09,110294.1015625,66251.64139863988
2025-06-10,110257.234375,66337.08085037742
2025-06-11,108686.625,66452.75308626871
2025-06-12,105929.0546875,66326.2829095834
2025-06-13,106090.96875,66407.04265152848
2025-06-14,105472.40625,66474.60430810627
2025-06-15,105552.0234375,66580.76150072897
2025-06-16,106796.7578125,66622.80627040996
2025-06-17,104601.1171875,66708.24572214746
2025-06-18,104883.328125,66823.9179580384
2025-06-19,104684.2890625,66697.44778135317
2025-06-20,103309.6015625,66778.20752329829
2025-06-21,102257.40625,66845.769179876
2025-06-22,100987.140625,66951.92637249874
2025-06-23,105577.7734375,66993.97114217962
2025-06-24,106045.6328125,67079.4105939173
2025-06-25,107361.2578125,67195.08282980835
2025-06-26,106960.0,67068.61265312337
2025-06-27,107088.4296875,67149.37239506804
2025-06-28,107327.703125,67216.93405164575
2025-06-29,108385.5703125,67323.09124426878
2025-06-30,107135.3359375,67365.13601394955
2025-07-01,105698.28125,67450.57546568708
2025-07-02,108859.3203125,67566.24770157805
2025-07-03,109647.9765625,67439.77752489314
2025-07-04,108034.3359375,67520.53726683799
2025-07-05,108231.1796875,67588.09892341569
2025-07-06,109232.0703125,67694.25611603829
2025-07-07,108299.8515625,67736.3008857195
2025-07-08,108950.2734375,67821.74033745675
2025-07-09,111326.5546875,67937.41257334776
2025-07-10,115987.203125,67810.94239666291
2025-07-11,117516.9921875,67891.70213860784
2025-07-12,117435.2265625,67959.26379518515
2025-07-13,119116.1171875,68065.42098780841
2025-07-14,119849.703125,68107.46575748941
2025-07-15,117777.1875,68192.90520922678
2025-07-16,118738.5078125,68308.57744511757
2025-07-17,119289.84375,68182.10726843313
2025-07-18,118003.2265625,68262.86701037771
2025-07-19,117939.9765625,68330.42866695531
2025-07-20,117300.7890625,68436.58585957791
2025-07-21,117439.5390625,68478.63062925907
2025-07-22,119995.4140625,68564.07008099664
2025-07-23,118754.9609375,68679.74231688755
2025-07-24,118368.0,68553.2721402029
2025-07-25,117635.8828125,68634.03188214754
2025-07-26,117947.3671875,68701.59353872504
2025-07-27,119448.4921875,68807.75073134796
2025-07-28,117924.4765625,68849.79550102892
2025-07-29,117922.1484375,68935.23495276649
2025-07-30,117831.1875,69050.90718865763
2025-07-31,115758.203125,68924.43701197265
2025-08-01,113320.0859375,69005.1967539175
2025-08-02,112526.9140625,69072.758410495
2025-08-03,114217.671875,69178.91560311799
2025-08-04,115071.8828125,69220.96037279855
2025-08-05,114141.4453125,69306.39982453635
2025-08-06,115028.0,69422.07206042734
2025-08-07,117496.8984375,69295.60188374243
2025-08-08,116688.7265625,69376.36162568719
2025-08-09,116500.359375,69443.92328226494
2025-08-10,119306.7578125,69550.08047488751
2025-08-11,118731.4453125,69592.12524456873
2025-08-12,120172.90625,69677.5646963064
2025-08-13,123344.0625,69793.23693219743
2025-08-14,118359.578125,69666.76675551219
2025-08-15,117398.3515625,69747.52649745716
2025-08-16,117491.3515625,69815.0881540346
2025-08-17,117453.0625,69921.24534665755
2025-08-18,116252.3125,69963.2901163384
2025-08-19,112831.1796875,70048.72956807597
2025-08-20,114274.7421875,70164.40180396714
2025-08-21,112419.03125,70037.93162728194
2025-08-22,116874.0859375,70118.6913692269
2025-08-23,115374.328125,70186.25302580454
2025-08-24,113458.4296875,70292.41021842738
2025-08-25,110124.3515625,70334.45498810809
2025-08-26,111802.65625,70419.89443984583
2025-08-27,111222.0625,70535.56667573696
2025-08-28,112544.8046875,70409.09649905171
2025-08-29,108410.8359375,70489.85624099684
2025-08-30,108808.0703125,70557.4178975745
