,test_actual,test_forecast
2025-01-16,591.6400146484375,500.1124182370024
2025-01-17,597.5800170898438,504.148975649645
2025-01-21,603.0499877929688,507.97767257785443
2025-01-22,606.4400024414062,511.370364908934
2025-01-23,609.75,514.6167736474973
2025-01-24,607.969970703125,517.8690742159689
2025-01-27,599.3699951171875,521.1552291404035
2025-01-28,604.52001953125,523.8627390375278
2025-01-29,601.8099975585938,526.7415670975383
2025-01-30,605.0399780273438,529.3983111217415
2025-01-31,601.8200073242188,532.4628614780022
2025-02-03,597.77001953125,535.733042940998
2025-02-04,601.780029296875,538.3242662638414
2025-02-05,604.219970703125,540.7647677348618
2025-02-06,606.3200073242188,542.8346334403973
2025-02-07,600.77001953125,544.4434998954587
2025-02-10,604.8499755859375,545.0643412681828
2025-02-11,605.3099975585938,544.7162660428664
2025-02-12,603.3599853515625,543.6364670897485
2025-02-13,609.72998046875,541.6735701236555
2025-02-14,609.7000122070312,539.6510490092669
2025-02-18,611.489990234375,540.3800526170758
2025-02-19,612.9299926757812,541.2343336594303
2025-02-20,610.3800048828125,542.138769191506
2025-02-21,599.9400024414062,543.0335630763763
2025-02-24,597.2100219726562,543.0304294206978
2025-02-25,594.239990234375,541.7747016838877
2025-02-26,594.5399780273438,539.7681152261189
2025-02-27,585.0499877929688,537.6745832581438
2025-02-28,594.1799926757812,535.1763771429943
2025-03-03,583.77001953125,534.0208684873071
2025-03-04,576.8599853515625,532.6729907504952
2025-03-05,583.0599975585938,530.9978142927246
2025-03-06,572.7100219726562,529.9281548247491
2025-03-07,575.9199829101562,528.7385112095993
2025-03-10,560.5800170898438,528.2339875539118
2025-03-11,555.9199829101562,526.5675248170998
2025-03-12,558.8699951171875,524.9253133593293
2025-03-13,551.4199829101562,523.7978663913536
2025-03-14,562.8099975585938,522.5626227762035
2025-03-17,567.1500244140625,522.7584266205175
2025-03-18,561.02001953125,523.6489563837046
2025-03-19,567.1300048828125,524.9018624259339
2025-03-20,565.489990234375,526.9059654579582
2025-03-21,563.97998046875,528.9294343428085
2025-03-24,574.0800170898438,530.7517006871221
2025-03-25,575.4600219726562,532.238447950309
2025-03-26,568.5900268554688,533.8218114925387
2025-03-27,567.0800170898438,534.6996895245632
2025-03-28,555.6599731445312,535.3477334094122
2025-03-31,559.3900146484375,534.8594497537255
2025-04-01,560.969970703125,533.7057470169138
2025-04-02,564.52001953125,533.0664980591434
2025-04-03,536.7000122070312,532.8194385911681
2025-04-04,505.2799987792969,531.298807476017
2025-04-07,504.3800048828125,527.9157488203307
2025-04-08,496.4800109863281,523.2838585835179
2025-04-09,548.6199951171875,518.2008671257482
2025-04-10,524.5800170898438,516.7216926577727
2025-04-11,533.9400024414062,515.944619042623
2025-04-14,539.1199951171875,516.8732853869358
2025-04-15,537.6099853515625,518.6242051501229
2025-04-16,525.6599731445312,520.781221192353
2025-04-17,526.4099731445312,522.2545217243774
2025-04-21,513.8800048828125,523.6468894535406
2025-04-22,527.25,523.1264192167281
2025-04-23,535.4199829101562,522.5587152589577
2025-04-24,546.6900024414062,522.9847457909823
2025-04-25,550.6400146484375,524.4664146758316
2025-04-28,550.8499755859375,526.6684960201452
2025-04-29,554.3200073242188,527.8880607833327
2025-04-30,554.5399780273438,528.5450568255624
2025-05-01,558.469970703125,529.0988348575872
2025-05-02,566.760009765625,529.9279537424364
2025-05-05,563.510009765625,531.3674850867503
2025-05-06,558.7999877929688,532.5125673499372
2025-05-07,561.1500244140625,533.330168392167
2025-05-08,565.0599975585938,534.1468839241913
2025-05-09,564.3400268554688,535.0428903090412
2025-05-12,582.989990234375,536.1101291533555
2025-05-13,586.8400268554688,537.775041416542
2025-05-14,587.5900268554688,539.7209049587717
2025-05-15,590.4600219726562,541.253657990796
2025-05-16,594.2000122070312,542.9167268756455
2025-05-19,594.8499755859375,544.8256607199588
2025-05-20,592.8499755859375,546.420452983147
2025-05-21,582.8599853515625,547.5748890253765
2025-05-22,583.0900268554688,547.6017320574011
2025-05-23,579.1099853515625,547.2634259422499
2025-05-27,591.1500244140625,546.7507395497518
2025-05-28,587.72998046875,546.5721030919811
2025-05-29,590.0499877929688,546.7610211240058
2025-05-30,589.3900146484375,547.0910925088552
2025-06-02,592.7100219726562,547.7240063531692
2025-06-03,596.0900268554688,548.192438616356
2025-06-04,595.9299926757812,548.527419658586
2025-06-05,593.0499877929688,548.9382551906108
2025-06-06,599.1400146484375,549.1577740754601
2025-06-09,599.6799926757812,549.8944654197738
2025-06-10,603.0800170898438,550.2272376829608
2025-06-11,601.3599853515625,550.8897837251907
2025-06-12,603.75,551.5727292572153
2025-06-13,597.0,552.5194831420645
2025-06-16,602.6799926757812,552.7582144863777
2025-06-17,597.530029296875,552.8004367495656
2025-06-18,597.4400024414062,552.3778677917954
2025-06-20,594.280029296875,551.919172208671
2025-06-23,600.1500244140625,551.1421135529824
2025-06-24,606.780029296875,550.7276358161702
2025-06-25,607.1199951171875,550.7102343584
2025-06-26,611.8699951171875,551.3356273904245
2025-06-27,614.9099731445312,552.5860862752746
2025-06-30,617.8499755859375,554.5290376195875
2025-07-01,617.6500244140625,556.3094598827757
2025-07-02,620.4500122070312,557.6441734250047
2025-07-03,625.3400268554688,558.8585514570298
2025-07-07,620.6799926757812,560.4029366861928
2025-07-08,620.3400268554688,560.92688394938
2025-07-09,624.0599975585938,561.1317874916094
2025-07-10,625.8200073242188,561.3093880236343
2025-07-11,623.6199951171875,561.4229069084838
2025-07-14,624.8099975585938,561.267110752798
2025-07-15,622.1400146484375,561.1841330159848
2025-07-16,624.219970703125,560.5106315582142
2025-07-17,628.0399780273438,559.7259395902386
2025-07-18,627.5800170898438,558.9608559750882
2025-07-21,628.77001953125,558.4799998194026
2025-07-22,628.8599853515625,557.8474970825893
2025-07-23,634.2100219726562,557.4644581248191
2025-07-24,634.4199829101562,557.708773656843
2025-07-25,637.0999755859375,557.9946925416923
2025-07-28,636.9400024414062,558.6696513860059
