,test_actual,test_forecast
2025-01-16,591.6400146484375,527.1522126610299
2025-01-17,597.5800170898438,527.4282004307283
2025-01-21,603.0499877929688,528.1332776457317
2025-01-22,606.4400024414062,528.283854730191
2025-01-23,609.75,528.3697107942398
2025-01-24,607.969970703125,528.645698563938
2025-01-27,599.3699951171875,529.260981252565
2025-01-28,604.52001953125,529.3507757789403
2025-01-29,601.8099975585938,529.5013528634005
2025-01-30,605.0399780273438,529.5872089274499
2025-01-31,601.8200073242188,529.86319669715
2025-02-03,597.77001953125,530.4784793857752
2025-02-04,601.780029296875,530.5682739121514
2025-02-05,604.219970703125,530.7188509966102
2025-02-06,606.3200073242188,530.8047070606597
2025-02-07,600.77001953125,531.0806948303597
2025-02-10,604.8499755859375,531.6959775189857
2025-02-11,605.3099975585938,531.78577204536
2025-02-12,603.3599853515625,531.9363491298196
2025-02-13,609.72998046875,532.0222051938688
2025-02-14,609.7000122070312,532.2981929635682
2025-02-18,611.489990234375,533.0032701785694
2025-02-19,612.9299926757812,533.153847263029
2025-02-20,610.3800048828125,533.2397033270794
2025-02-21,599.9400024414062,533.5156910967792
2025-02-24,597.2100219726562,534.1309737854056
2025-02-25,594.239990234375,534.2207683117786
2025-02-26,594.5399780273438,534.3713453962384
2025-02-27,585.0499877929688,534.4572014602871
2025-02-28,594.1799926757812,534.7331892299877
2025-03-03,583.77001953125,535.3484719186131
2025-03-04,576.8599853515625,535.4382664449892
2025-03-05,583.0599975585938,535.5888435294478
2025-03-06,572.7100219726562,535.6746995934969
2025-03-07,575.9199829101562,535.9506873631974
2025-03-10,560.5800170898438,536.5659700518223
2025-03-11,555.9199829101562,536.6557645781983
2025-03-12,558.8699951171875,536.8063416626572
2025-03-13,551.4199829101562,536.8921977267061
2025-03-14,562.8099975585938,537.1681854964058
2025-03-17,567.1500244140625,537.7834681850338
2025-03-18,561.02001953125,537.8732627114078
2025-03-19,567.1300048828125,538.0238397958666
2025-03-20,565.489990234375,538.1096958599153
2025-03-21,563.97998046875,538.3856836296158
2025-03-24,574.0800170898438,539.0009663182431
2025-03-25,575.4600219726562,539.0907608446169
2025-03-26,568.5900268554688,539.2413379290762
2025-03-27,567.0800170898438,539.3271939931251
2025-03-28,555.6599731445312,539.603181762823
2025-03-31,559.3900146484375,540.2184644514497
2025-04-01,560.969970703125,540.3082589778264
2025-04-02,564.52001953125,540.4588360622857
2025-04-03,536.7000122070312,540.544692126335
2025-04-04,505.2799987792969,540.8206798960329
2025-04-07,504.3800048828125,541.43596258466
2025-04-08,496.4800109863281,541.5257571110347
2025-04-09,548.6199951171875,541.6763341954952
2025-04-10,524.5800170898438,541.7621902595441
2025-04-11,533.9400024414062,542.0381780292448
2025-04-14,539.1199951171875,542.6534607178704
2025-04-15,537.6099853515625,542.7432552442444
2025-04-16,525.6599731445312,542.8938323287048
2025-04-17,526.4099731445312,542.9796883927535
2025-04-21,513.8800048828125,543.8709588510798
2025-04-22,527.25,543.9607533774549
2025-04-23,535.4199829101562,544.1113304619141
2025-04-24,546.6900024414062,544.1971865259633
2025-04-25,550.6400146484375,544.4731742956619
2025-04-28,550.8499755859375,545.0884569842891
2025-04-29,554.3200073242188,545.1782515106642
2025-04-30,554.5399780273438,545.3288285951235
2025-05-01,558.469970703125,545.4146846591732
2025-05-02,566.760009765625,545.6906724288716
2025-05-05,563.510009765625,546.3059551174994
2025-05-06,558.7999877929688,546.395749643873
2025-05-07,561.1500244140625,546.5463267283328
2025-05-08,565.0599975585938,546.6321827923815
2025-05-09,564.3400268554688,546.9081705620813
2025-05-12,582.989990234375,547.5234532507098
2025-05-13,586.8400268554688,547.6132477770827
2025-05-14,587.5900268554688,547.7638248615422
2025-05-15,590.4600219726562,547.8496809255907
2025-05-16,594.2000122070312,548.1256686952898
2025-05-19,594.8499755859375,548.7409513839164
2025-05-20,592.8499755859375,548.8307459102928
2025-05-21,582.8599853515625,548.9813229947516
2025-05-22,583.0900268554688,549.0671790588011
2025-05-23,579.1099853515625,549.3431668284985
2025-05-27,591.1500244140625,550.0482440435023
2025-05-28,587.72998046875,550.1988211279611
2025-05-29,590.0499877929688,550.2846771920103
2025-05-30,589.3900146484375,550.5606649617092
2025-06-02,592.7100219726562,551.1759476503371
2025-06-03,596.0900268554688,551.2657421767108
2025-06-04,595.9299926757812,551.4163192611708
2025-06-05,593.0499877929688,551.5021753252203
2025-06-06,599.1400146484375,551.778163094919
2025-06-09,599.6799926757812,552.3934457835464
2025-06-10,603.0800170898438,552.4832403099205
2025-06-11,601.3599853515625,552.6338173943801
2025-06-12,603.75,552.7196734584295
2025-06-13,597.0,552.9956612281276
2025-06-16,602.6799926757812,553.6109439167541
2025-06-17,597.530029296875,553.70073844313
2025-06-18,597.4400024414062,553.8513155275896
2025-06-20,594.280029296875,554.2131593613408
2025-06-23,600.1500244140625,554.8284420499635
2025-06-24,606.780029296875,554.918236576339
2025-06-25,607.1199951171875,555.0688136607989
2025-06-26,611.8699951171875,555.1546697248477
2025-06-27,614.9099731445312,555.4306574945481
2025-06-30,617.8499755859375,556.0459401831738
2025-07-01,617.6500244140625,556.1357347095503
2025-07-02,620.4500122070312,556.2863117940084
2025-07-03,625.3400268554688,556.3721678580583
2025-07-07,620.6799926757812,557.2634383163843
2025-07-08,620.3400268554688,557.3532328427588
2025-07-09,624.0599975585938,557.5038099272177
2025-07-10,625.8200073242188,557.5896659912673
2025-07-11,623.6199951171875,557.8656537609663
2025-07-14,624.8099975585938,558.4809364495947
2025-07-15,622.1400146484375,558.5707309759683
2025-07-16,624.219970703125,558.7213080604272
2025-07-17,628.0399780273438,558.8071641244759
2025-07-18,627.5800170898438,559.083151894175
2025-07-21,628.77001953125,559.698434582804
2025-07-22,628.8599853515625,559.7882291091772
2025-07-23,634.2100219726562,559.9388061936369
2025-07-24,634.4199829101562,560.024662257685
2025-07-25,637.0999755859375,560.3006500273834
2025-07-28,636.9400024414062,560.9159327160104
2025-07-29,635.260009765625,561.0057272423865
2025-07-30,634.4600219726562,561.1563043268462
2025-07-31,632.0800170898438,561.2421603908956
2025-08-01,621.719970703125,561.5181481605931
2025-08-04,631.1699829101562,562.1334308492196
2025-08-05,627.969970703125,562.2232253755953
2025-08-06,632.780029296875,562.3738024600556
2025-08-07,632.25,562.4596585241047
2025-08-08,637.1799926757812,562.7356462938052
2025-08-11,635.9199829101562,563.3509289824312
2025-08-12,642.6900024414062,563.4407235088049
2025-08-13,644.8900146484375,563.5913005932653
2025-08-14,644.9500122070312,563.677156657314
2025-08-15,643.4400024414062,563.9531444270149
2025-08-18,643.2999877929688,564.5684271156405
2025-08-19,639.8099975585938,564.6582216420155
2025-08-20,638.1099853515625,564.8087987264747
2025-08-21,635.5499877929688,564.8946547905246
2025-08-22,645.3099975585938,565.1706425602224
2025-08-25,642.469970703125,565.7859252488498
2025-08-26,645.1599731445312,565.8757197752246
2025-08-27,646.6300048828125,566.0262968596841
2025-08-28,648.9199829101562,566.1121529237338
2025-08-29,645.0499877929688,566.3881406934321
2025-09-02,640.27001953125,567.093217908433
2025-09-03,643.739990234375,567.2437949928934
2025-09-04,649.1199951171875,567.3296510569421
2025-09-05,647.239990234375,567.6056388266418
2025-09-08,648.8300170898438,568.2209215152707
2025-09-09,650.3300170898438,568.3107160416442
2025-09-10,652.2100219726562,568.4612931261028
2025-09-11,657.6300048828125,568.5471491901513
2025-09-12,657.4099731445312,568.8231369598527
2025-09-15,660.9099731445312,569.4384196484772
2025-09-16,660.0,569.5282141748532
2025-09-17,659.1799926757812,569.6787912593122
2025-09-18,662.260009765625,569.7646473233611
2025-09-19,663.7000122070312,570.0406350930624
2025-09-22,666.8400268554688,570.6559177816864
2025-09-23,663.2100219726562,570.7457123080628
2025-09-24,661.0999755859375,570.8962893925216
2025-09-25,658.0499877929688,570.982145456571
2025-09-26,661.8200073242188,571.2581332262697
2025-09-29,663.6799926757812,571.8734159148979
2025-09-30,666.1799926757812,571.9632104412725
2025-10-01,668.4500122070312,572.1137875257314
2025-10-02,669.219970703125,572.1996435897809
2025-10-03,669.2100219726562,572.4756313594794
2025-10-06,671.6099853515625,573.0909140481045
2025-10-07,669.1199951171875,573.180708574481
2025-10-08,673.1099853515625,573.3312856589406
2025-10-09,671.1599731445312,573.4171417229892
2025-10-10,653.02001953125,573.6931294926878
2025-10-13,663.0399780273438,574.3084121813149
2025-10-14,662.22998046875,574.3982067076905
2025-10-15,665.1699829101562,574.5487837921502
2025-10-16,660.6400146484375,574.6346398561992
2025-10-17,664.3900146484375,574.9106276258999
2025-10-20,671.2999877929688,575.5259103145241
2025-10-21,671.2899780273438,575.6157048408994
2025-10-22,667.7999877929688,575.7662819253595
2025-10-23,671.760009765625,575.8521379894082
2025-10-24,677.25,576.1281257591085
2025-10-27,685.239990234375,576.7434084477346
2025-10-28,687.0599975585938,576.8332029741102
2025-10-29,687.3900146484375,576.983780058569
2025-10-30,679.8300170898438,577.0696361226189
2025-10-31,682.0599975585938,577.3456238923184
2025-11-03,683.3400268554688,577.960906580944
2025-11-04,675.239990234375,578.0507011073191
2025-11-05,677.5800170898438,578.2012781917782
2025-11-06,670.3099975585938,578.287134255828
2025-11-07,670.969970703125,578.5631220255268
2025-11-10,681.4400024414062,579.1784047141555
2025-11-11,683.0,579.2681992405289
2025-11-12,683.3800048828125,579.418776324988
2025-11-13,672.0399780273438,579.5046323890366
2025-11-14,671.9299926757812,579.7806201587365
2025-11-17,665.6699829101562,580.3959028473646
2025-11-18,660.0800170898438,580.4856973737378
2025-11-19,662.6300048828125,580.6362744581974
2025-11-20,652.530029296875,580.7221305222463
2025-11-21,659.030029296875,580.9981182919439
2025-11-24,668.72998046875,581.6134009805712
2025-11-25,675.02001953125,581.7031955069475
2025-11-26,679.6799926757812,581.8537725914067
2025-11-28,683.3900146484375,582.2156164251536
2025-12-01,680.27001953125,582.8308991137816
2025-12-02,681.530029296875,582.9206936401558
2025-12-03,683.8900146484375,583.0712707246162
2025-12-04,684.3900146484375,583.1571267886654
2025-12-05,685.6900024414062,583.4331145583657
2025-12-08,683.6300048828125,584.048397246992
2025-12-09,683.0399780273438,584.1381917733665
2025-12-10,687.5700073242188,584.2887688578259
2025-12-11,689.1699829101562,584.3746249218747
2025-12-12,681.760009765625,584.6506126915741
2025-12-15,680.72998046875,585.2658953802012
2025-12-16,678.8699951171875,585.3556899065755
2025-12-17,671.4000244140625,585.5062669910353
2025-12-18,676.469970703125,585.5921230550845
2025-12-19,680.5900268554688,585.8681108247828
2025-12-22,684.8300170898438,586.4833935134105
2025-12-23,687.9600219726562,586.573188039785
2025-12-24,690.3800048828125,586.7237651242447
2025-12-26,690.3099975585938,587.0856089579947
2025-12-29,687.8499755859375,587.7008916466209
2025-12-30,687.010009765625,587.7906861729941
2025-12-31,681.9199829101562,587.9412632574541
2026-01-02,683.1699829101562,588.3031070912034
2026-01-05,687.719970703125,588.9183897798297
2026-01-06,691.8099975585938,589.0081843062047
2026-01-07,689.5800170898438,589.1587613906634
2026-01-08,689.510009765625,589.244617454712
2026-01-09,694.0700073242188,589.520605224413
2026-01-12,695.1599731445312,590.135887913039
2026-01-13,693.77001953125,590.2256824394138
2026-01-14,690.3599853515625,590.3762595238728
2026-01-15,692.239990234375,590.4621155879225
2026-01-16,691.6599731445312,590.7381033576205
